clean_text,label
tornado on the ground in azle headed right toward tms,Informative
us tornado toll rises to 122 afp,Informative
us joplin mo tornado had more than 1 vortex,Informative
stats 124 people confirmed dead 750 treated at hospitals about 1500 still unaccounted for approx 8000 stru,Informative
damaging wind threat coming into tulsa ok,Informative
denton take shelter possible tornado just to the west of where i35w and i35e meet,Informative
tornado in denton county tx now reported to be near lantana warning info and radar,Informative
about 1500 people unaccounted for in many of those may be alive just cant reach loved ones 10p,Informative
platte county mo until a tornado watch until 3am,Informative
rice county has again been placed under a severe thunderstorm warning until 8pm currently barton county is under a tornado warning,Informative
tornado warning for n tarrant county tx northern fort worth area softball size hail possible too warning info h,Informative
if you live in northern tarrant county stay alert a tornado may be on the ground near azle its moving east at 40mph,Informative
rt breaking authorities say death toll from joplin mo tornado now at 122 more than 750 people injured cc,Informative
5 dead and search going on for missing child after it was sucked from mothers arm as they huddled in bathroom,Informative
awful rt that killed 122 in joplin missouri was ef5 with top winds of 200 mph,Informative
ghoshenspringtown in parker county take tornado precautions,Informative
pray for the people in joplin missouri the tornado killed a lot of people,Non-Informative
also a tornado warning for wise and denton counties in texas,Informative
jfc rt new tornado watch until 3am cdt for western mo includes more info,Informative
collindallas county need to be ready to take cover within the next 2030 minutes you need to be,Informative
breaking news from ap at least 4 dead after tornado hit oklahoma city area widespread tornado warnings remain in effect,Informative
im worried about you because of the tornado take care dear,Non-Informative
muertes por tornado en misuri se elevan a 122,Non-Informative
triage safety first then shoutmove walking wounded to safe place,Informative
damaging wind threat coming into tulsa ok,Informative
another very dangerous storm possible just ne of leon seek shelter ne of this cell follow 4 updates,Informative
u no y i luv twitter ive met peeps all across the usa can my tweeps prayhave good thoughts for my girl shes in tornado ally,Non-Informative
reuters us two dead from oklahoma tornado oklahoma city reuters two people died when a tornado struck el,Informative
urgente reportes de tornado han tocado tierra cerca a russett oklahoma reporta the weather channel,Non-Informative
there is a tornado headed right for us 805 eta,Informative
infomusic lauren alainas american idol run brightens tornadoweary hometown,Informative
this dude on cnn is being interviewed about the tornado in a dominos pizza uniform,Non-Informative
deadly tornado kills 124 leaves twilight zone in its wake the tornado that struck joplin missouri sunday killed 124 people aut,Informative
tornado watch just issued for joplin mo,Informative
tornado in broken arrow,Informative
many still unaccounted for after joplin tornado,Informative
and if a tornado comes blas whatever you do save the espresso machine bobby to the night shift,Non-Informative
q2 says the tornado in joplin was one of the deadliest in history,Informative
tornado warning for denton county until 815,Informative
lurch thanks for all the tweets from tornado alley,Non-Informative
wtf alerta de tornado no mams siguen sonando las alarmas bien intensas,Non-Informative
tornado watch issued for the area until 3am local time,Informative
tornado threat spreading into north texas cooke wise and parker counties under tornado warnings currently,Informative
when isnt there a tornado warning especially where im at,Non-Informative
my heart goes out to the people of missouri be strong you guys can make it through,Non-Informative
oklahoma alabama missouri tea party people call dick armey about a free market solution to tornado damage well wait,Non-Informative
was watching s tornado coverage earlier their chopper pilot went off the air to land and help people on the ground out amazing,Informative
the tornado is coming and i think i might die a virgin,Non-Informative
weather service issues watch for western missouri extreme eastern kansas,Informative
tornado kills two in suburban oklahoma city an emergency official says a tornado has killed 2 people in suburba,Informative
house is fine a bit messy inside but that has nothing to do with the tornados,Non-Informative
glad i could help,Non-Informative
warring for northern parker county,Informative
is everyone forgetting that missouri is right next to kansas its fricking tornado alley this is not unexpected,Non-Informative
tornado arning for casewell and rockingham counties nc until 915pm via twc tv,Informative
video of kfortv storm chaser nearly getting hit by power pole during tornado chase,Informative
nws detected a developing tornado 7 miles northeast of mineral wells state park moving east at 40 mph,Informative
my prayers goes to oklahoma after this tornado nothing will be the same,Non-Informative
i just know the tornado alerts are gonna get in the way its not that idc i just wish the weather could get itself together for glee,Non-Informative
eua tornado que arrasou joplin e deixou mais de 120 mortos recebe classificaãƒâœã‚â¤ãƒâœã‚â£o final de ef5 mãƒâœãƒâximo da escala fujita mai,Non-Informative
a warning issued for for denton wise county in until 815pm cdt get this tornado watch for until 3am local time,Informative
joplin najtragiczniejsze tornado od 60 lat,Non-Informative
this weather blows,Non-Informative
outbreak beginning in north texas,Informative
outbreak beginning in north texas,Informative
ok news reporting fatality due to softball sized please seek shelter if youre in the path of these monsters,Informative
praying for,Non-Informative
posible on ground near admore people should seek shelter now,Informative
live stream tornado coverage headed to tulsa,Informative
azle take cover tornado reported on the ground,Informative
how we dress for the tornado shelter,Non-Informative
there is now a tornado 3 miles se of springtown with debris on the ground get to your storm shelter immediately,Informative
threat accelerated 2 hours from now right now damaging winds and hail appear to be biggest threat,Informative
the lord got it going down in oklahoma baby running from one tornado to another one no worry,Non-Informative
possible debris ball on radar near little this cell looks very dangerous okemah ok seek shelter,Informative
maps advisory strong outbreak as of 52411 7pm local plan shelter now ht,Informative
please pray for the tornado victims please,Non-Informative
tornado alarms are blaring might have to go for cover,Informative
ut news medical examiner 4 dead in oklahoma tornadoes a broad tornado has blown through the oklahoma city m,Informative
would you like to contribute a work to an auction for joplin missouri tornado animal relief auction,Non-Informative
twc weather expert dr forbes is predicting will get hit with severe weather around 930 pm cdt,Informative
powerlines down from storm near cleveland oklahoma tune to kfaq,Informative
tornado watch in kansas,Informative
tornado watch until 3am,Informative
meeeep meeeeeep meeep meep meeep 124 meep meep meeeep meeep meeep,Informative
tornado watch for portions of the area in mo until 300am cdt,Informative
please pray for the tornado victims please,Non-Informative
joplin missouri where at least 124 died sunday under watch,Informative
deadly joplin tornado could cost 3 billion may 24 2011 via,Informative
please pray for the tornado victims please,Non-Informative
softball size hail possible in parker co storm along with tornado threat,Informative
tornado warning needs to be issued for okfuskee,Informative
death toll in is 124 1500 people still unaccounted for,Informative
tornado you might have to run to the land of earthquake welcome,Non-Informative
piedmont tornado,Informative
huge hail threat in parker county tx,Informative
we are safe our home is safe friends family are safe but so many others are not prayers for the victims of tornados,Non-Informative
twc reporting tornado warnings for dallas fort worth area in texas listen to local reports take cover be alert,Informative
breaking natl weather service upgrades tornado that hit joplin mo to highestrated ef5 with winds greater than 200 mp,Informative
we need you in joplin missouri bring hope to the city after the devastating tornado will you please come25256324,Non-Informative
joplin tornado now highestrated ef5,Informative
a pray for all the tornado victims today xoxota louca,Non-Informative
my 1000th tweet is dedicated to those in joplin god bless you all we are praying for you and will continue to find,Non-Informative
im home all alone we not even finna get hot by this tornado but im texting him,Non-Informative
minstens vier doden bij tornado oklahoma city een tornado die gisteren in de avondspits door het amerikaanse ok,Non-Informative
noooooo no tornado in dallas,Non-Informative
desastres ambientais em curso no mundo vulcãƒâœã‚â£o ativo islãƒâœã‚â¢ndia tornado desvastador eua cãƒâœdigo florestal brasil,Non-Informative
there are 8 tornadoproducing storms in central and northern right now oy,Informative
entire kc metro area is under a tornado watch until 11 pm updates as needed,Informative
some of my family lost almost everything in the tornado in joplin missouri,Non-Informative
tornado warning also includes wise and denton counties supercell has split,Informative
death toll in is 124 1500 people still unaccounted for,Informative
outbreak beginning in north texas,Informative
noaa says the tornado was an ef5 the 8th deadliest tornado on record,Informative
these stories of parents searching for their children are absolutely heartwrenching prayers,Non-Informative
tornado coverage is too depressing nba game cmon bulls,Non-Informative
nws detected a developing tornado 7 miles northeast of mineral wells state park moving east at 40 mph,Informative
tornado watches now cover all of northeast kansas including douglas county,Informative
tornado watch issued for till 3am difficult times in southwest missouri,Informative
you should open up your facebook wall so people can post photos tornado reports,Non-Informative
please pray for the tornado victims please,Non-Informative
just in joplin missouri tornado death toll now at 122 was an ef5 storm with top winds of more than 200 mph,Informative
45000 without power in ok,Informative
heads up fort worth tx,Informative
just in storm prediction center issues tornado watch for western missouri extreme eastern kansas until 3am cdt includes city,Informative
careful its tornado watch here in oklahoma so it might move down to texas be carefullt3,Informative
tornado warning for atoka bryan and johnston county in ok until 845pm cdt,Informative
the joplin tornado has now been rated an ef5 with winds over 200 mph,Informative
tornado reported in denton county texas near i35 w and fm 407,Informative
tornado watch issued for joplin,Informative
twcbreaking tornado in denton county tx now reported to be near lantana warning info and radar,Informative
pics just continue to amaze rt a picture of the tornado in my moms neighborhood,Informative
just heard sirens in tx,Informative
if visited a tornado damaged townhed tell residents 2 ask neighboring towns 4 charity,Non-Informative
love yall especially all those in tornado alley,Non-Informative
newcastle and goldsby significant damage tornado just crossed i40 near shawnee new storm heading to east of shawnee,Informative
my heart goes out to the people of missouri be strong you guys can make it through,Non-Informative
i know its tornado season and all but seriously nature give these poor people a break,Non-Informative
joplin tornado 1500 unaccounted,Informative
saying an extra prayer for red crossers be safe people are counting on you,Non-Informative
apparently wyandotte county is under a tornado watch this all of a sudden got 100 times scarier,Informative
reported in springtown texas very close to a direct hit of the city no word on damage or injuries fo,Informative
